cliente_id,titulo_proposta,destino,data_inicio,data_fim,hotel_nome,hotel_cidade,hotel_checkin,hotel_checkout,hotel_moeda,hotel_valor_diaria,hotel_refeicao,hotel_item,hotel_estrelas,hotel_avaliacao,hotel_num_quartos,hotel_distancia_1,hotel_distancia_2,hotel_link,hotel_status
66,Sauipe - Sauipe Terra Resort,Sauipe,2026-03-14,2026-03-18,Sauipe Terra Resort,Sauipe,2026-03-14,2026-03-18,BRL,1201.87,All Inclusive,Piscina,4.0,8.3,1,"5,4km centro",Beira-mar,https://www.sauiperesorts.com.br/,OK
66,Natal - El Aram Imirá Beach Resort,Natal,2026-03-07,2026-03-11,El Aram Imirá Beach Resort,Natal,2026-03-07,2026-03-11,BRL,960.45,All Inclusive,Piscina,4.0,8.2,1,"5,7km centro",Beira-mar,https://elaramhoteis.com.br/,OK
66,Maragogi - Salinas Maragogi,Maragogi,2026-03-06,2026-03-10,Salinas Maragogi,Maragogi,2026-03-06,2026-03-10,BRL,2411.25,All Inclusive,Piscina,5.0,9.2,1,"2,2km centro",Beira-mar,https://www.salinas.com.br/pt/maragogi,OK
67,Rota das Emoções - Rede Andrade SLZ,Rota das Emoções,2027-01-05,2027-01-06,Rede Andrade SLZ,São Luis,2027-01-05,2027-01-06,BRL,225.00,Café,Piscina,3.0,8.0,1,"3,2km centro",,https://www.booking.com/Share-rE9hz7,OK
67,Rota das Emoções - Pousada Estrela da Manhã,Rota das Emoções,2027-01-06,2027-01-09,Pousada Estrela da Manhã,Barreirinhas,2027-01-06,2027-01-09,BRL,262.33,Café,Piscina,,,1,1.1 centro,,https://app.business.booking.com/xapp/en-GB/stay/details/9621433?adultCount=2&aid=964694&aid_label=hotel_details-UzQzCz@1786978410-5P451O2@1787231162&checkinDate=2027-01-06&checkoutDate=2027-01-09&destinationId=-628252&destinationType=city&guestAccountCountryCode=BR&guestCurrency=BRL&label=zenodeeplinkpp&roomCount=1&searchLocation=Barreirinhas,OK
67,Rota das Emoções - Hotel Pousada dos Ventos,Rota das Emoções,2027-01-09,2027-01-11,Hotel Pousada dos Ventos,Parnaíba,2027-01-09,2027-01-11,BRL,237.00,Café,Piscina,,,1,2.2 centro,,https://www.booking.com/Share-2DABv3,OK
67,Rota das Emoções - Rede Andrade Dunas,Rota das Emoções,2027-01-11,2027-01-15,Rede Andrade Dunas,Jericoacoara,2027-01-11,2027-01-15,BRL,239.75,Café,Piscina,3.0,,1,800m centro,700 praia,https://www.booking.com/Share-pV7HeW,OK
67,Santa Catarina - Hotel Hola,Florianópolis e Bombinhas,2026-01-05,2026-01-08,Hotel Hola,Florianópolis,2026-01-05,2026-01-08,BRL,421.33,Café,Piscina,,8.3,1,Lagoa da Conceição,700m praia,https://www.booking.com/Share-1wjlr4,OK
67,Santa Catarina - Bella Catarina,Florianópolis e Bombinhas,2026-01-08,2026-01-11,Bella Catarina,Bombinhas,2026-01-08,2026-01-11,BRL,540.33,Café,,,9.6,1,"2,7km centro",300m praia,https://www.booking.com/Share-ReS9sm,OK
67,Santa Catarina - Pousada Estrelas no Mar Florianópolis,Florianópolis e Bombinhas,2026-01-11,2026-01-15,Pousada Estrelas no Mar Florianópolis,Florianópolis,2026-01-11,2026-01-15,BRL,357.00,Café,Piscina,,9.0,1,Pântano do Sul,Beira-mar,https://www.booking.com/Share-cn63KE,OK
67,Costa dos Corais - Rede Andrade Porto Mar,"Maceió, Maragogi e Porto de Galinhas",2026-01-05,2026-01-09,Rede Andrade Porto Mar,Maceió,2026-01-05,2026-01-09,BRL,316.25,Café,Piscina,3.0,8.7,1,Mangabeiras,1km praia,,OK
67,Costa dos Corais - Pousada Villa Costeira,"Maceió, Maragogi e Porto de Galinhas",2026-01-09,2026-01-11,Pousada Villa Costeira,Maragogi,2026-01-09,2026-01-11,BRL,205.00,Café,Piscina,,8.5,1,1km centro,450m praia,,OK
67,Costa dos Corais - Pousada Mar do Sonho Villa,"Maceió, Maragogi e Porto de Galinhas",2026-01-11,2026-01-15,Pousada Mar do Sonho Villa,Porto de Galinhas,2026-01-11,2026-01-15,BRL,198.00,Café,Piscina,,7.0,1,No centro,900m praia,,OK
67,Encantos do Nordeste - Candango Aero Hotel,"Natal, Pipa e João Pessoa",2026-01-05,2026-01-06,Candango Aero Hotel,Brasilia,2026-01-05,2026-01-06,BRL,176.00,Café,,3.0,,1,8km aeroporto,,https://www.booking.com/Share-7FhiP4R,OK
67,Encantos do Nordeste - Malai Pousada,"Natal, Pipa e João Pessoa",2026-01-06,2026-01-09,Malai Pousada,João Pessoa,2026-01-06,2026-01-09,BRL,170.00,Café,,,,1,Maraira,200 praia,https://www.booking.com/Share-cmLmNr3,OK
67,Encantos do Nordeste - Pipa Hotel Pe na Areia,"Natal, Pipa e João Pessoa",2026-01-09,2026-01-12,Pipa Hotel Pe na Areia,Pipa,2026-01-09,2026-01-12,BRL,304.67,Café,Piscina,3.0,,1,100 centro,350 praia,https://www.booking.com/Share-50oMc0g,OK
67,Encantos do Nordeste - Pousada Itália,"Natal, Pipa e João Pessoa",2026-01-12,2026-01-15,Pousada Itália,Natal,2026-01-12,2026-01-15,BRL,218.67,Café,Piscina,,,,Ponta Negra,500m praia,https://www.booking.com/Share-n37qGO,OK
67,Região dos Lagos + Rio - Casa Colomba,"Búzios, Cabo Frio, Arraial do Cabo e Rio de Janeiro",2026-01-05,2026-01-08,Casa Colomba,Búzios,2026-01-05,2026-01-08,BRL,267.67,Café,,,8.5,1,900m centro,150m praia,https://www.booking.com/Share-bYUcbm,OK
67,Região dos Lagos + Rio - Flamingo Beach Pousada,"Búzios, Cabo Frio, Arraial do Cabo e Rio de Janeiro",2026-01-08,2026-01-10,Flamingo Beach Pousada,Cabo Frio,2026-01-08,2026-01-10,BRL,345.50,Café,Piscina,,8.2,1,"1,5km centro",400m praia,https://www.booking.com/Share-6eTo3m4,OK
67,Região dos Lagos + Rio - Noemia Brazil Cama e Café,"Búzios, Cabo Frio, Arraial do Cabo e Rio de Janeiro",2026-01-10,2026-01-13,Noemia Brazil Cama e Café,Arraial do Cabo,2026-01-10,2026-01-13,BRL,342.67,Café,,,9.9,1,"1,3km centro",500m praia,https://www.booking.com/Share-R0DsG6,OK
67,Região dos Lagos + Rio - Hotel Diplomata Copacabana,"Búzios, Cabo Frio, Arraial do Cabo e Rio de Janeiro",2026-01-13,2026-01-15,Hotel Diplomata Copacabana,Rio de Janeiro,2026-01-13,2026-01-15,BRL,375.00,Café,,,8.4,1,Copacabana,500m praia,https://www.booking.com/Share-sS0cj60,OK
67,Cabo Agostinho All Inclusive,Cabo Agostinho,2026-01-11,2026-01-15,El Aram Beach Cabo,Cabo Agostinho,2026-01-11,2026-01-15,BRL,1196.75,All Inclusive,Resort,4.0,,1,Beira Mar,,https://www.booking.com/Share-v8aCdpz,OK
67,Arraial D'Ajuda / Meia Pensão,Arraial D'Ajuda,2026-01-10,2026-01-14,Hotel Marina Quinta do Porto,Arraial D'Ajuda,2026-01-10,2026-01-14,BRL,610.75,Meia Pensão,Piscina,4.0,,1,3.8km centro,100m praia,https://www.booking.com/hotel/br/e-marina-quinta-do-porto.en-gb.html?aid=2252354&label=sv3%3AMj2fA9hrnbDMk5pLFQyh3BLHCX9%2FwAKzSkjVCVuhcRKeibCBh1%2BXt5a0nJHVkI4CrPpIYtkcz5i7LS7DnD9Hgbw%2BUOvznsJSyYKf8DKF9yU%3D&sid=1d3f8d1236681fcf1b22d9e27580dbf9&all_sr_blocks=24960114_382808764_2_1_0_1654077&checkin=2027-01-11&checkout=2027-01-15&dest_id=249601&dest_type=hotel&dist=0&group_adults=2&group_children=0&hapos=1&highlighted_blocks=24960114_382808764_2_1_0_1654077&hpos=1&matching_block_id=24960114_382,OK
67,Costa dos Corais completo - Candango Aero Hotel,"Maceió, Maragogi e Porto de Galinhas",2026-01-05,2026-01-06,Candango Aero Hotel,Brasilia,2026-01-05,2026-01-06,BRL,176.00,Café,,3.0,,1,8km aeroporto,,https://www.booking.com/Share-7FhiP4R,OK
67,Costa dos Corais completo - Pousada Casa Nossa,"Maceió, Maragogi e Porto de Galinhas",2026-01-06,2026-01-10,Pousada Casa Nossa,Maceió,2026-01-06,2026-01-10,BRL,378.00,Café,,,7.9,1,Jatiúca,350m praia,,OK
67,Costa dos Corais completo - Pousada Raízes do Porto,"Maceió, Maragogi e Porto de Galinhas",2026-01-10,2026-01-13,Pousada Raízes do Porto,Porto de Galinhas,2026-01-10,2026-01-13,BRL,244.00,Café,Piscina,,,1,No centro,450m praia,,OK
68,6 diárias,Maceió,2026-09-17,2026-09-23,Pousada Nossa Casa,Maceió,2026-09-17,2026-09-23,BRL,131.67,Café,,,7.9,1,Jatiúca,350m praia,https://www.booking.com/Share-vbvPYt,OK
68,7 diárias,Maceió,2026-09-16,2026-09-23,Pousada Nilza Mar,Maceió,2026-09-16,2026-09-23,BRL,149.43,Café,,,8.1,1,Jatiúca,300m praia,https://www.booking.com/Share-vbvPYt,OK
68,6 diárias escala,Maceió,2026-09-17,2026-09-20,Pousada Praia Bela Maceió,Maceió,2026-09-17,2026-09-20,BRL,258.33,Café,Piscina,3.0,7.2,1,Jatiúca,450m praia,https://www.booking.com/hotel/br/e-pousada-praia-bela.pt-br.html?age=10&aid=964694&app_hotel_id=4436623&checkin=2026-11-22&checkout=2026-11-27&from_sn=android&group_adults=4&group_children=1&label=hotel_details-lqoF5h%401786974628&no_rooms=1&req_adults=4&req_age=10&req_children=1&room1=A%2CA%2CA%2CA%2C10,OK
68,7 diárias escala,Maceió,2026-09-16,2026-09-20,Pousada Praia Bela Maceió,Maceió,2026-09-16,2026-09-20,BRL,221.75,Café,Piscina,3.0,7.2,1,Jatiúca,450m praia,https://www.booking.com/hotel/br/e-pousada-praia-bela.pt-br.html?age=10&aid=964694&app_hotel_id=4436623&checkin=2026-11-22&checkout=2026-11-27&from_sn=android&group_adults=4&group_children=1&label=hotel_details-lqoF5h%401786974628&no_rooms=1&req_adults=4&req_age=10&req_children=1&room1=A%2CA%2CA%2CA%2C10,OK
68,6 diárias direto,Maceió,2026-09-17,2026-09-20,Pousada Praia Bela Maceió,Maceió,2026-09-17,2026-09-20,BRL,258.33,Café,Piscina,3.0,7.2,1,Jatiúca,450m praia,https://www.booking.com/hotel/br/e-pousada-praia-bela.pt-br.html?age=10&aid=964694&app_hotel_id=4436623&checkin=2026-11-22&checkout=2026-11-27&from_sn=android&group_adults=4&group_children=1&label=hotel_details-lqoF5h%401786974628&no_rooms=1&req_adults=4&req_age=10&req_children=1&room1=A%2CA%2CA%2CA%2C10,OK
68,7 diárias direto,Maceió,2026-09-16,2026-09-20,Pousada Praia Bela Maceió,Maceió,2026-09-16,2026-09-20,BRL,221.75,Café,Piscina,3.0,7.2,1,Jatiúca,450m praia,https://www.booking.com/hotel/br/e-pousada-praia-bela.pt-br.html?age=10&aid=964694&app_hotel_id=4436623&checkin=2026-11-22&checkout=2026-11-27&from_sn=android&group_adults=4&group_children=1&label=hotel_details-lqoF5h%401786974628&no_rooms=1&req_adults=4&req_age=10&req_children=1&room1=A%2CA%2CA%2CA%2C10,OK
68,6 diárias escala|direto Nilza,Maceió,2026-09-17,2026-09-23,Pousada Nilza Mar,Maceió,2026-09-17,2026-09-23,BRL,239.33,Café,,,8.1,1,Jatiúca,300m praia,https://www.booking.com/Share-vbvPYt,OK
68,6 diárias escala|direto Nilza,Maceió,2026-09-17,2026-09-23,Pousada Nilza Mar,Maceió,2026-09-17,2026-09-23,BRL,239.33,Café,,,8.1,1,Jatiúca,300m praia,https://www.booking.com/Share-vbvPYt,OK
68,6 diárias escala Nilza,Maceió,2026-09-17,2026-09-22,Pousada Nilza Mar,Maceió,2026-09-17,2026-09-22,BRL,247.60,Café,,,8.1,1,Jatiúca,300m praia,https://www.booking.com/Share-vbvPYt,OK
69,Costa dos Corais - Pousada Maanaim Porto,"Porto de Galinhas, Maragogi e Maceió",2026-10-11,2026-10-14,Pousada Maanaim Porto,Porto de Galinhas,2026-10-11,2026-10-14,BRL,235.67,Café,Piscina,,8.6,1,No centro,450m praia,https://www.booking.com/Share-BmFVxR,OK
69,Costa dos Corais - Pousada Solare,"Porto de Galinhas, Maragogi e Maceió",2026-10-14,2026-10-16,Pousada Solare,Maragogi,2026-10-14,2026-10-16,BRL,137.50,Café,Piscina,,7.6,1,1km centro,300m praia,https://www.booking.com/Share-mEHl4We,OK
69,Costa dos Corais - Kyros Pousada,"Porto de Galinhas, Maragogi e Maceió",2026-10-16,2026-10-20,Kyros Pousada,Maceió,2026-10-16,2026-10-20,BRL,248.75,Café,Piscina,,9.1,1,Cruz das Almas,50m praia,https://www.booking.com/Share-AWM6z9b,OK
69,Bonito - Barra Bonita Pousada,Bonito,2026-10-13,2026-10-18,Barra Bonita Pousada,Bonito,2026-10-13,2026-10-18,BRL,147.60,Café,,,,1,200m centro,,https://www.booking.com/Share-Dx3MrT2,OK
69,Bonito - Hotel Brivanna,Bonito,2026-10-18,2026-10-19,Hotel Brivanna,Campo Grande,2026-10-18,2026-10-19,BRL,171.00,Café,,,8.0,1,700m centro,,https://www.booking.com/Share-me5ivS,OK
69,Bonito + Pantanal - Pousada Rio Bonito,Bonito e Miranda,2026-10-12,2026-10-17,Pousada Rio Bonito,Bonito,2026-10-12,2026-10-17,BRL,206.00,Café,Piscina,,7.4,1,800m centro,,https://www.booking.com/Share-Dx3MrT2,OK
69,Bonito + Pantanal - Fazenda San Francisco,Bonito e Miranda,2026-10-16,2026-10-17,Fazenda San Francisco,Miranda,2026-10-16,2026-10-17,BRL,2544.00,Pensão Completa,Piscina,,8.1,1,,,https://lp.fazendasanfrancisco.tur.br/?utm_source=google&utm_medium=cpc&utm_campaign=td_venda_pesquisa_institucional_perpetua&utm_content=seg01_institucional&gad_source=1&gad_campaignid=22229971894&gbraid=0AAAAADh1B5N2cnTNXv0TRiMTmbjsmP1fU&gclid=Cj0KCQjwnbrUBhDOARIsAKKhPpfw36BhDCeLMMooUGqv-Oyqpw6aXGJEx-Hv909ogWg-U0eElm9xricaAu5yEALw_wcB,OK
69,Bonito + Pantanal - Hotel Brivanna,Bonito e Miranda,2026-10-17,2026-10-18,Hotel Brivanna,Campo Grande,2026-10-17,2026-10-18,BRL,171.00,Café,,,8.0,1,700m centro,,https://www.booking.com/Share-me5ivS,OK
70,Rio sem café,Rio de Janeiro,2026-11-06,2026-11-09,Conforto em Copacabana,Rio de Janeiro,2026-11-06,2026-11-09,BRL,262.33,Nada,,,9.4,1,Copacabana,350m praia,https://www.booking.com/Share-zY86Nyf,OK
70,Rio com café,Rio de Janeiro,2026-11-06,2026-11-09,Itajubá Hotel,Rio de Janeiro,2026-11-06,2026-11-09,BRL,269.50,Café,,3.0,7.7,1,No centro,"1,3km praia",https://www.booking.com/Share-Oisb2iR,OK
70,Rio com café e piscina em Copacabana,Rio de Janeiro,2026-11-06,2026-11-09,Mirador Rio Copacabana Hotel,Rio de Janeiro,2026-11-06,2026-11-09,BRL,560.33,Café,Piscina,,8.6,1,Copacabana,600m praia,https://www.booking.com/Share-1288lRl,OK
70,Rio com café e piscina,Rio de Janeiro,2026-11-06,2026-11-09,Hotel Atlântico Business Centro,Rio de Janeiro,2026-11-06,2026-11-09,BRL,327.67,Café,Piscina,4.0,7.0,1,No centro,"1,4km praia",https://www.booking.com/Share-9v7YJ9B,OK
69,Bonito + Safari - Barra Bonita Pousada,Bonito e Miranda,2026-10-13,2026-10-17,Barra Bonita Pousada,Bonito,2026-10-13,2026-10-17,BRL,184.50,Café,,,8.1,1,200m centro,,https://www.booking.com/Share-Dx3MrT2,OK
69,Bonito + Safari - Pantanal Hotel,Bonito e Miranda,2026-10-17,2026-10-18,Pantanal Hotel,Miranda,2026-10-17,2026-10-18,BRL,370.00,Café,Piscina,3.0,,1,700m centro,,,OK
69,Bonito + Safari - Hotel Brivanna,Bonito e Miranda,2026-10-18,2026-10-19,Hotel Brivanna,Campo Grande,2026-10-18,2026-10-19,BRL,171.00,Café,,,8.0,1,700m centro,,https://www.booking.com/Share-me5ivS,OK
69,Bonito + day use Safari - Barra Bonita Pousada,Bonito e Miranda,2026-10-13,2026-10-17,Barra Bonita Pousada,Bonito,2026-10-13,2026-10-17,BRL,184.50,Café,,,,1,200m centro,,https://www.booking.com/Share-Dx3MrT2,OK
69,Bonito + day use Safari - Pantanal Hotel,Bonito e Miranda,2026-10-17,2026-10-19,Pantanal Hotel,Miranda,2026-10-17,2026-10-19,BRL,370.00,Café,Piscina,3.0,,1,700m centro,,,OK
71,Natal,Natal,2026-11-30,2026-12-05,Pousada Maravista,Natal,2026-11-30,2026-12-05,BRL,184.00,Café,,,8.0,1,Ponta Negra,50m praia,https://www.booking.com/Share-I1tCtZ,OK
71,Pipa - Nirvana Pipa,Pipa,2026-11-30,2026-12-05,Nirvana Pipa,Pipa,2026-11-30,2026-12-05,BRL,148.80,Café,Piscina,,8.5,1,350m centro,600m praia,https://www.booking.com/Share-c89z9Hd,Opção
71,Pipa - Pousada Mediterrânea,Pipa,2026-11-30,2026-12-05,Pousada Mediterrânea,Pipa,2026-11-30,2026-12-05,BRL,227.00,Café,Piscina,,8.7,1,200m centro,150m praia,,OK
71,João Pessoa,João Pessoa,2026-11-07,2026-11-13,Regiane Beach Pousada Hostel,João Pessoa,2026-11-07,2026-11-13,BRL,144.00,Café,Piscina,,7.9,1,Cabo Branco,450m praia,https://www.booking.com/Share-u85WUL,OK
71,Morro de São Paulo,Morro de São Paulo,2026-11-30,2026-12-05,Pousada Morro Tropical,Morro de São Paulo,2026-11-30,2026-12-05,BRL,152.60,Café,,,8.0,1,150m centro,150m praia,https://www.booking.com/Share-90CsEHi,OK
71,Fernando de Noronha,Fernando de Noronha,2026-12-06,2026-12-10,Refúgio no Paraíso,Fernando de Noronha,2026-12-06,2026-12-10,BRL,255.25,Nada,,,8.7,1,450m centro,800m praia,https://www.booking.com/Share-Cvsafms,OK
71,San Andrés,San Andrés,2026-12-06,2026-12-11,Apartamentos Katy,San Andrés,2026-12-06,2026-12-11,COP,112500.00,Nada,,,9.0,1,800m centro,600m praia,https://www.booking.com/Share-oEXkN8,OK
71,Punta Cana,Punta Cana,2026-11-20,2026-11-25,Deluxe Studios with Pool View and Wii-fi at Playa los Corales,Punta Cana,2026-11-20,2026-11-25,USD,83.40,Café,Piscina,5.0,9.9,1,Bávaro,Beira-mar,https://www.booking.com/Share-jFuc5rz,OK
71,Jericoacoara,Jericoacoara,2026-11-29,2026-12-04,Rede Andrade Dunas,Jericoacoara,2026-11-29,2026-12-04,BRL,191.80,Café,Piscina,,8.4,1,800m centro,700m praia,https://www.booking.com/Share-leRQRJk,OK
71,Encantos do Nordeste - Regiane Beach Pousada Hostel,"João Pessoa, Pipa e Natal",2026-11-06,2026-11-09,Regiane Beach Pousada Hostel,João Pessoa,2026-11-06,2026-11-09,BRL,153.00,Café,Piscina,,7.9,1,Cabo Branco,450m praia,https://www.booking.com/Share-OUEAl3,OK
71,Encantos do Nordeste - Nirvana Pipa,"João Pessoa, Pipa e Natal",2026-11-09,2026-11-11,Nirvana Pipa,Pipa,2026-11-09,2026-11-11,BRL,139.50,Café,Piscina,,8.5,1,350m centro,600m praia,https://www.booking.com/Share-b5VvZIV,OK
71,Encantos do Nordeste - Pousada Nossa Natal,"João Pessoa, Pipa e Natal",2026-11-11,2026-11-14,Pousada Nossa Natal,Natal,2026-11-11,2026-11-14,BRL,133.33,Café,Piscina,,8.8,1,Ponta Negra,100m praia,https://www.booking.com/Share-oArcGb,OK
71,Maceió,Maceió,2026-11-11,2026-11-17,Pousada Mar de Pajuçara,Maceió,2026-11-11,2026-11-17,BRL,160.00,Café,,,7.5,1,Pajuçara,250m praia,https://www.booking.com/Share-sac5XKw,OK
72,Natal,Natal,2026-12-08,2026-12-13,Pousada Nossa Natal,Natal,2026-12-08,2026-12-13,BRL,212.80,Café,Piscina,,8.8,1,Ponta Negra,100m praia,https://www.booking.com/Share-UzQzCz,OK
72,Natal c/ passeios,Natal,2026-12-08,2026-12-13,Pousada Nossa Natal,Natal,2026-12-08,2026-12-13,BRL,212.80,Café,Piscina,,8.8,1,Ponta Negra,100m praia,https://www.booking.com/Share-UzQzCz,OK
7,Transfer básico,Transfer básico,,,,,,,,,,,,,,,,,
7,Transfer + passeio,Transfer + passeio,,,,,,,,,,,,,,,,,
73,27 manhã,Petrolina,,,,,,,,,,,,,,,,,
73,26 manhã,Petrolina,,,,,,,,,,,,,,,,,
73,26 tarde,Petrolina,,,,,,,,,,,,,,,,,
