cenario_id,descricao,cidade,fornecedor,moeda,valor_unitario,qtd_pessoas,transfer,link
28,Ilha do Campeche Saída da Barra da Lagoa,Florianópolis,Ilha da Magia,BRL,200.00,2,false,https://ilhadamagiaonline.com.br/passeio/ilha-do-campeche-passeio-saida-barra-da-lagoa/
29,Lancha Maragogi,Maragogi,Caribe Maragogi,BRL,130.00,2,false,
30,Lancha Maragogi,Maragogi,Caribe Maragogi,BRL,130.00,2,false,
31,Lancha Maragogi,Maragogi,Caribe Maragogi,BRL,130.00,2,false,
29,Buggy Ponta a Ponta,Porto de Galinhas,Buggy Tour,BRL,247.50,2,true,
30,Buggy Ponta a Ponta,Porto de Galinhas,Buggy Tour,BRL,247.50,2,true,
31,Buggy Ponta a Ponta,Porto de Galinhas,Buggy Tour,BRL,247.50,2,true,
32,Buggy Genipabu,Natal,Natal Pipa,BRL,145.00,2,true,https://natalpipa.com.br/
33,Buggy Genipabu,Natal,Natal Pipa,BRL,145.00,2,true,https://natalpipa.com.br/
34,Buggy Genipabu,Natal,Natal Pipa,BRL,145.00,2,true,https://natalpipa.com.br/
35,Buggy Genipabu,Natal,Natal Pipa,BRL,145.00,2,true,https://natalpipa.com.br/
32,Piscinas Naturais dos Seixas,João Pessoa,Nordestine-se,BRL,60.00,2,false,
33,Piscinas Naturais dos Seixas,João Pessoa,Nordestine-se,BRL,60.00,2,false,
34,Piscinas Naturais dos Seixas,João Pessoa,Nordestine-se,BRL,60.00,2,false,
35,Piscinas Naturais dos Seixas,João Pessoa,Nordestine-se,BRL,60.00,2,false,
36,Passeio de Escuna Búzios,Búzios,Búzios Trip Tour,BRL,70.00,2,false,https://buziostriptour.com/tours/passeio-de-escuna-em-buzios/
37,Passeio de Escuna Búzios,Búzios,Búzios Trip Tour,BRL,70.00,2,false,https://buziostriptour.com/tours/passeio-de-escuna-em-buzios/
38,Passeio de Escuna Búzios,Búzios,Búzios Trip Tour,BRL,70.00,2,false,https://buziostriptour.com/tours/passeio-de-escuna-em-buzios/
39,Passeio de Escuna Búzios,Búzios,Búzios Trip Tour,BRL,70.00,2,false,https://buziostriptour.com/tours/passeio-de-escuna-em-buzios/
36,Passeio de Escuna Arraial do Cabo,Arraial do Cabo,Efraim Turismo,BRL,150.00,2,false,https://efraimturismo.com/passeio-de-barco-1757
37,Passeio de Escuna Arraial do Cabo,Arraial do Cabo,Efraim Turismo,BRL,150.00,2,false,https://efraimturismo.com/passeio-de-barco-1757
38,Passeio de Escuna Arraial do Cabo,Arraial do Cabo,Efraim Turismo,BRL,150.00,2,false,https://efraimturismo.com/passeio-de-barco-1757
39,Passeio de Escuna Arraial do Cabo,Arraial do Cabo,Efraim Turismo,BRL,150.00,2,false,https://efraimturismo.com/passeio-de-barco-1757
57,Barra do Sucuri,Bonito,Bonito Eco Tour,BRL,269.00,2,false,
58,Barra do Sucuri,Bonito,Bonito Eco Tour,BRL,269.00,2,false,
57,Barra do Sucuri,Bonito,Bonito Eco Tour,BRL,31.00,1,false,
58,Barra do Sucuri,Bonito,Bonito Eco Tour,BRL,31.00,1,false,
57,Estância Mimosa,Bonito,Bonito Eco Tour,BRL,340.00,2,false,
58,Estância Mimosa,Bonito,Bonito Eco Tour,BRL,340.00,2,false,
57,Eco Park Porto da Ilha - Boia Cross,Bonito,Bonito Eco Tour,BRL,145.00,2,false,
58,Eco Park Porto da Ilha - Boia Cross,Bonito,Bonito Eco Tour,BRL,145.00,2,false,
57,Eco Park Porto da Ilha - Boia Cross,Bonito,Bonito Eco Tour,BRL,110.00,1,false,
58,Eco Park Porto da Ilha - Boia Cross,Bonito,Bonito Eco Tour,BRL,110.00,1,false,
57,Boca da Onça - Meia Trilha Buraco do Macaco,Bonito,Bonito Eco Tour,BRL,430.00,2,false,
58,Boca da Onça - Meia Trilha Buraco do Macaco,Bonito,Bonito Eco Tour,BRL,430.00,2,false,
57,Refúgio da Barra,Bonito,Bonito Eco Tour,BRL,90.00,2,false,
58,Refúgio da Barra,Bonito,Bonito Eco Tour,BRL,90.00,2,false,
59,Barra do Sucuri,Bonito,Bonito Eco Tour,BRL,269.00,2,false,
60,Barra do Sucuri,Bonito,Bonito Eco Tour,BRL,269.00,2,false,
61,Barra do Sucuri,Bonito,Bonito Eco Tour,BRL,269.00,2,false,
59,Barra do Sucuri,Bonito,Bonito Eco Tour,BRL,31.00,1,false,
60,Barra do Sucuri,Bonito,Bonito Eco Tour,BRL,31.00,1,false,
61,Barra do Sucuri,Bonito,Bonito Eco Tour,BRL,31.00,1,false,
59,Estância Mimosa,Bonito,Bonito Eco Tour,BRL,340.00,2,false,
60,Estância Mimosa,Bonito,Bonito Eco Tour,BRL,340.00,2,false,
61,Estância Mimosa,Bonito,Bonito Eco Tour,BRL,340.00,2,false,
59,Eco Park Porto da Ilha - Boia Cross,Bonito,Bonito Eco Tour,BRL,145.00,2,false,
60,Eco Park Porto da Ilha - Boia Cross,Bonito,Bonito Eco Tour,BRL,145.00,2,false,
61,Eco Park Porto da Ilha - Boia Cross,Bonito,Bonito Eco Tour,BRL,145.00,2,false,
59,Eco Park Porto da Ilha - Boia Cross,Bonito,Bonito Eco Tour,BRL,110.00,1,false,
60,Eco Park Porto da Ilha - Boia Cross,Bonito,Bonito Eco Tour,BRL,110.00,1,false,
61,Eco Park Porto da Ilha - Boia Cross,Bonito,Bonito Eco Tour,BRL,110.00,1,false,
59,Boca da Onça - Meia Trilha Buraco do Macaco,Bonito,Bonito Eco Tour,BRL,430.00,2,false,
60,Boca da Onça - Meia Trilha Buraco do Macaco,Bonito,Bonito Eco Tour,BRL,430.00,2,false,
61,Boca da Onça - Meia Trilha Buraco do Macaco,Bonito,Bonito Eco Tour,BRL,430.00,2,false,
59,Refúgio da Barra,Bonito,Bonito Eco Tour,BRL,90.00,2,false,
60,Refúgio da Barra,Bonito,Bonito Eco Tour,BRL,90.00,2,false,
61,Refúgio da Barra,Bonito,Bonito Eco Tour,BRL,90.00,2,false,
54,Lancha Maragogi,Maragogi,Caribe Maragogi,BRL,130.00,2,false,
55,Lancha Maragogi,Maragogi,Caribe Maragogi,BRL,130.00,2,false,
56,Lancha Maragogi,Maragogi,Caribe Maragogi,BRL,130.00,2,false,
54,Buggy Ponta a Ponta,Porto de Galinhas,Buggy Tour,BRL,247.50,2,true,
55,Buggy Ponta a Ponta,Porto de Galinhas,Buggy Tour,BRL,247.50,2,true,
56,Buggy Ponta a Ponta,Porto de Galinhas,Buggy Tour,BRL,247.50,2,true,
54,Buggy Litoral Norte Premium,Maragogi,Caribe Maragogi,BRL,200.00,1,true,
55,Buggy Litoral Norte Premium,Maragogi,Caribe Maragogi,BRL,200.00,1,true,
56,Buggy Litoral Norte Premium,Maragogi,Caribe Maragogi,BRL,200.00,1,true,
54,Praia do Gunga,Maceió,Maresul,BRL,43.20,2,true,
55,Praia do Gunga,Maceió,Maresul,BRL,43.20,2,true,
56,Praia do Gunga,Maceió,Maresul,BRL,43.20,2,true,
54,Praia do Gunga,Maceió,Maresul,BRL,33.60,1,true,
55,Praia do Gunga,Maceió,Maresul,BRL,33.60,1,true,
56,Praia do Gunga,Maceió,Maresul,BRL,33.60,1,true,
54,São Miguel dos Milagres,Maceió,Maresul,BRL,79.20,2,true,
55,São Miguel dos Milagres,Maceió,Maresul,BRL,79.20,2,true,
56,São Miguel dos Milagres,Maceió,Maresul,BRL,79.20,2,true,
54,São Miguel dos Milagres,Maceió,Maresul,BRL,61.60,1,true,
55,São Miguel dos Milagres,Maceió,Maresul,BRL,61.60,1,true,
56,São Miguel dos Milagres,Maceió,Maresul,BRL,61.60,1,true,
54,Praia do Francês,Maceió,Maresul,BRL,43.20,2,true,
55,Praia do Francês,Maceió,Maresul,BRL,43.20,2,true,
56,Praia do Francês,Maceió,Maresul,BRL,43.20,2,true,
54,Praia do Francês,Maceió,Maresul,BRL,33.60,1,true,
55,Praia do Francês,Maceió,Maresul,BRL,33.60,1,true,
56,Praia do Francês,Maceió,Maresul,BRL,33.60,1,true,
42,Buggy Ponta a Ponta,Porto de Galinhas,Buggy Tour,BRL,495.00,1,true,
43,Buggy Ponta a Ponta,Porto de Galinhas,Buggy Tour,BRL,495.00,1,true,
44,Buggy Ponta a Ponta,Porto de Galinhas,Buggy Tour,BRL,495.00,1,true,
42,Praia do Gunga,Maceió,Maresul,BRL,43.20,2,true,
43,Praia do Gunga,Maceió,Maresul,BRL,43.20,2,true,
44,Praia do Gunga,Maceió,Maresul,BRL,43.20,2,true,
42,São Miguel dos Milagres,Maceió,Maresul,BRL,79.20,2,true,
43,São Miguel dos Milagres,Maceió,Maresul,BRL,79.20,2,true,
44,São Miguel dos Milagres,Maceió,Maresul,BRL,79.20,2,true,
42,Maragogi c/ piscinas,Maceió,Maresul,BRL,210.00,2,true,
43,Maragogi c/ piscinas,Maceió,Maresul,BRL,210.00,2,true,
44,Maragogi c/ piscinas,Maceió,Maresul,BRL,210.00,2,true,
54,Praia dos Carneiros Bora Bora (Lancha),Porto de Galinhas,Brasil Tur Passeios,BRL,190.00,2,true,
55,Praia dos Carneiros Bora Bora (Lancha),Porto de Galinhas,Brasil Tur Passeios,BRL,190.00,2,true,
56,Praia dos Carneiros Bora Bora (Lancha),Porto de Galinhas,Brasil Tur Passeios,BRL,190.00,2,true,
66,Barra do Sucuri,Bonito,Bonito Eco Tour,BRL,269.00,2,false,
67,Barra do Sucuri,Bonito,Bonito Eco Tour,BRL,269.00,2,false,
68,Barra do Sucuri,Bonito,Bonito Eco Tour,BRL,269.00,2,false,
66,Barra do Sucuri,Bonito,Bonito Eco Tour,BRL,31.00,1,false,
67,Barra do Sucuri,Bonito,Bonito Eco Tour,BRL,31.00,1,false,
68,Barra do Sucuri,Bonito,Bonito Eco Tour,BRL,31.00,1,false,
66,Estância Mimosa,Bonito,Bonito Eco Tour,BRL,340.00,2,false,
67,Estância Mimosa,Bonito,Bonito Eco Tour,BRL,340.00,2,false,
68,Estância Mimosa,Bonito,Bonito Eco Tour,BRL,340.00,2,false,
66,Eco Park Porto da Ilha - Boia Cross,Bonito,Bonito Eco Tour,BRL,145.00,2,false,
67,Eco Park Porto da Ilha - Boia Cross,Bonito,Bonito Eco Tour,BRL,145.00,2,false,
68,Eco Park Porto da Ilha - Boia Cross,Bonito,Bonito Eco Tour,BRL,145.00,2,false,
66,Eco Park Porto da Ilha - Boia Cross,Bonito,Bonito Eco Tour,BRL,110.00,1,false,
67,Eco Park Porto da Ilha - Boia Cross,Bonito,Bonito Eco Tour,BRL,110.00,1,false,
68,Eco Park Porto da Ilha - Boia Cross,Bonito,Bonito Eco Tour,BRL,110.00,1,false,
66,Boca da Onça - Meia Trilha Buraco do Macaco,Bonito,Bonito Eco Tour,BRL,430.00,2,false,
67,Boca da Onça - Meia Trilha Buraco do Macaco,Bonito,Bonito Eco Tour,BRL,430.00,2,false,
68,Boca da Onça - Meia Trilha Buraco do Macaco,Bonito,Bonito Eco Tour,BRL,430.00,2,false,
66,Refúgio da Barra,Bonito,Bonito Eco Tour,BRL,90.00,2,false,
67,Refúgio da Barra,Bonito,Bonito Eco Tour,BRL,90.00,2,false,
68,Refúgio da Barra,Bonito,Bonito Eco Tour,BRL,90.00,2,false,
66,Safari,Bonito,Bonito Eco Tour,BRL,300.00,2,false,
67,Safari,Bonito,Bonito Eco Tour,BRL,300.00,2,false,
68,Safari,Bonito,Bonito Eco Tour,BRL,300.00,2,false,
66,Safari criança,Bonito,Bonito Eco Tour,BRL,202.00,1,false,
67,Safari criança,Bonito,Bonito Eco Tour,BRL,202.00,1,false,
68,Safari criança,Bonito,Bonito Eco Tour,BRL,202.00,1,false,
69,Barra do Sucuri,Bonito,Bonito Eco Tour,BRL,269.00,2,false,
70,Barra do Sucuri,Bonito,Bonito Eco Tour,BRL,269.00,2,false,
69,Barra do Sucuri,Bonito,Bonito Eco Tour,BRL,31.00,1,false,
70,Barra do Sucuri,Bonito,Bonito Eco Tour,BRL,31.00,1,false,
69,Estância Mimosa,Bonito,Bonito Eco Tour,BRL,340.00,2,false,
70,Estância Mimosa,Bonito,Bonito Eco Tour,BRL,340.00,2,false,
69,Eco Park Porto da Ilha - Boia Cross,Bonito,Bonito Eco Tour,BRL,145.00,2,false,
70,Eco Park Porto da Ilha - Boia Cross,Bonito,Bonito Eco Tour,BRL,145.00,2,false,
69,Eco Park Porto da Ilha - Boia Cross,Bonito,Bonito Eco Tour,BRL,110.00,1,false,
70,Eco Park Porto da Ilha - Boia Cross,Bonito,Bonito Eco Tour,BRL,110.00,1,false,
69,Boca da Onça - Meia Trilha Buraco do Macaco,Bonito,Bonito Eco Tour,BRL,430.00,2,false,
70,Boca da Onça - Meia Trilha Buraco do Macaco,Bonito,Bonito Eco Tour,BRL,430.00,2,false,
69,Refúgio da Barra,Bonito,Bonito Eco Tour,BRL,90.00,2,false,
70,Refúgio da Barra,Bonito,Bonito Eco Tour,BRL,90.00,2,false,
69,Day use Safari,Bonito,Bonito Eco Tour,BRL,438.00,2,false,
70,Day use Safari,Bonito,Bonito Eco Tour,BRL,438.00,2,false,
69,Day use Safari criança,Bonito,Bonito Eco Tour,BRL,300.00,1,false,
70,Day use Safari criança,Bonito,Bonito Eco Tour,BRL,300.00,1,false,
69,Praia da Figueira,Bonito,Bonito Eco Tour,BRL,119.00,2,false,
70,Praia da Figueira,Bonito,Bonito Eco Tour,BRL,119.00,2,false,
71,Parrachos de Maracajaú,Natal,Natal Pipa,BRL,170.00,2,true,
71,Buggy Genipabu,Natal,Natal Pipa,BRL,145.00,2,true,
71,Bate e Volta Pipa,Natal,Natal Pipa,BRL,65.00,2,true,https://www.natalpipa.com.br/
72,Quadriciclo Pipa,Pipa,Natal Pipa,BRL,270.00,1,true,https://natalpipa.com.br/passeio/passeio-de-quadriciclo-pipa
73,Quadriciclo Pipa,Pipa,Natal Pipa,BRL,270.00,1,true,https://natalpipa.com.br/passeio/passeio-de-quadriciclo-pipa
74,Combo Litoral norte,João Pessoa,Nordestine-se,BRL,170.00,2,true,
74,Piscinas Naturais dos Seixas,João Pessoa,Nordestine-se,BRL,60.00,2,true,
74,Combo Litoral Sul,João Pessoa,Nordestine-se,BRL,190.00,2,true,
75,Volta à Ilha,Morro de São Paulo,Passeios Morro,BRL,350.00,2,false,https://passeiosmorro.com.br/passeios/volta-a-ilha
76,Ilha Tour,Fernando de Noronha,Em Noronha,BRL,280.00,2,true,
77,"Johnny Cay, Acuario, Haynes Cay e manguezais",San Andrés,Get Your Guide,USD,36.38,2,true,
78,Isla Saona,Punta Cana,Decolar,BRL,350.00,2,true,https://www.decolar.com/atracoes-turisticas/d-PAM_PUJ_58710/ilha+saona+em+catamara+ou+lancha+tudo+incluido-punta+cana?modalityId=UFVKfDU4NzEwfDIzMzAwM3xGSVhFRA
79,Quadriciclo Jeri,Jeri,Loucos por Jeri,BRL,550.00,1,true,
79,Lado Oeste,Jeri,Loucos por Jeri,BRL,70.00,2,true,
79,Alchymist Beach Club,Jeri,Loucos por Jeri,BRL,130.00,2,true,
80,Buggy Genipabu,Natal,Natal Pipa,BRL,145.00,2,true,
81,Buggy Genipabu,Natal,Natal Pipa,BRL,145.00,2,true,
82,Buggy Genipabu,Natal,Natal Pipa,BRL,145.00,2,true,
80,Quadriciclo Pipa,Pipa,Natal Pipa,BRL,270.00,1,true,https://natalpipa.com.br/passeio/passeio-de-quadriciclo-pipa
81,Quadriciclo Pipa,Pipa,Natal Pipa,BRL,270.00,1,true,https://natalpipa.com.br/passeio/passeio-de-quadriciclo-pipa
82,Quadriciclo Pipa,Pipa,Natal Pipa,BRL,270.00,1,true,https://natalpipa.com.br/passeio/passeio-de-quadriciclo-pipa
80,Piscinas Naturais dos Seixas,João Pessoa,Nordestine-se,BRL,60.00,2,true,
81,Piscinas Naturais dos Seixas,João Pessoa,Nordestine-se,BRL,60.00,2,true,
82,Piscinas Naturais dos Seixas,João Pessoa,Nordestine-se,BRL,60.00,2,true,
83,Praia do Gunga,Maceió,Maresul,BRL,43.20,2,true,
83,São Miguel dos Milagres,Maceió,Maresul,BRL,79.20,2,true,
83,Buggy São Miguel dos Milagres,Maceió,Jr Buggy Milagres /,BRL,250.00,1,true,
83,Praia do Francês,Maceió,Maresul,BRL,43.20,2,true,
83,Maragogi c/ piscinas,Maceió,Maresul,BRL,210.00,2,true,
87,Praia dos Carneiros Bora Bora (Lancha),Porto de Galinhas,Brasil Tur Passeios,BRL,190.00,3,true,
